사업장명,사업장도로명상세주소,법정동주소광역시도코드,법정동주소광역시시군구코드,법정동주소광역시시군구읍면동코드,사업장업종코드,사업장업종코드명,가입자수,당월고지금액,신규취득자수,상실가입자수
대신정보통신(주),서울특별시 금천구 가산디지털2로,11,545,101,722000,응용 소프트웨어 개발 및 공급업,623,208751760,13,13
한국후지쯔(주),서울특별시 종로구 종로,11,110,126,722000,응용 소프트웨어 개발 및 공급업,143,74430880,0,1
(주)비트컴퓨터,서울특별시 서초구 서초대로74길,11,650,108,722000,응용 소프트웨어 개발 및 공급업,131,45033340,2,2
(주)코스콤,서울특별시 영등포구 여의나루로,11,560,110,723000,자료 처리업,841,441292240,29,4
(주)제이.티.에스,서울특별시 마포구 잔다리로,11,440,120,722000,응용 소프트웨어 개발 및 공급업,7,1813760,0,0
케이씨씨정보통신주식회사,서울특별시 용산구 청파로61길,11,170,109,721000,컴퓨터 시스템 통합 자문 및 구축 서비스업,397,134064440,5,8
(주)디지털코라스,,11,560,121,722000,응용 소프트웨어 개발 및 공급업,10,2288360,0,0
주식회사솔트룩스,서울특별시 송파구 올림픽로35길,11,710,102,722000,응용 소프트웨어 개발 및 공급업,165,63952700,3,4
(주)키다리스튜디오,서울특별시 성동구 연무장11길,11,200,115,722000,응용 소프트웨어 개발 및 공급업,279,96615940,5,8
한국정보통신(주),서울특별시 중구 세종대로,11,140,117,724000,데이터베이스 및 온라인 정보 제공업,275,138111260,1,1
(주)케이씨이아이,,11,530,102,722000,응용 소프트웨어 개발 및 공급업,51,22559640,0,0
아이앤씨엠(주),서울특별시 구로구 시흥대로163길,11,530,102,724000,데이터베이스 및 온라인 정보 제공업,13,2705780,2,1
대성전산(주),서울특별시 서초구 방배로,11,650,101,723000,자료 처리업,87,27201220,1,2
삼일피더블유씨솔루션(주),서울특별시 용산구 한강대로,11,170,104,724000,데이터베이스 및 온라인 정보 제공업,37,17184460,2,2
(주)한국갤럽조사연구소,서울특별시 종로구 사직로,11,110,115,724000,데이터베이스 및 온라인 정보 제공업,212,79790600,4,4
(주)디모아,서울특별시 용산구 서빙고로51길,11,170,133,722000,응용 소프트웨어 개발 및 공급업,147,51497600,1,4
(주)미래쏘프트웨어,서울특별시 용산구 후암로28길,11,650,108,722000,응용 소프트웨어 개발 및 공급업,7,2509440,0,0
쎄티스펙션코리아시스템(주),서울특별시 금천구 서부샛길,11,545,101,721000,컴퓨터 시스템 통합 자문 및 구축 서비스업,5,1073880,0,0
한국도로교통공단,강원특별자치도 원주시 혁신로,51,130,117,724000,데이터베이스 및 온라인 정보 제공업,389,158625120,1,6
한국행동과학연구소,서울특별시 강남구 테헤란로52길,11,680,101,723000,자료 처리업,35,10036560,0,0
(주)아이티센클로잇,경기도 과천시 과천대로12길,41,290,103,722000,응용 소프트웨어 개발 및 공급업,411,180350420,4,10
한국지능정보사회진흥원,대구광역시 동구 첨단로,27,140,124,721000,컴퓨터 시스템 통합 자문 및 구축 서비스업,674,266014800,3,9
(주)엘지씨엔에스,서울특별시 강서구 마곡중앙8로,11,500,105,722000,응용 소프트웨어 개발 및 공급업,6877,3689694280,21,40
주식회사 아이티센엔텍,경기도 과천시 과천대로12길,41,290,103,722000,응용 소프트웨어 개발 및 공급업,961,379485780,23,16
(주)수산아이앤티,서울특별시 강남구 밤고개로5길,11,680,115,722000,응용 소프트웨어 개발 및 공급업,124,46203420,2,0
한일네트웍스 주식회사,서울특별시 중구 수표로,11,140,161,722000,응용 소프트웨어 개발 및 공급업,202,72071040,0,2
블루욘더코리아 유한회사,서울특별시 용산구 한강대로,11,170,125,722000,응용 소프트웨어 개발 및 공급업,7,3552920,0,0
지식시스템(주),경기도 성남시 분당구 판교로,41,135,109,722000,응용 소프트웨어 개발 및 공급업,44,15196260,2,0
삼성에스디에스(주),서울특별시 송파구 올림픽로35길,11,710,102,722000,응용 소프트웨어 개발 및 공급업,11440,6273685180,34,52
주식회사메타넷글로벌,서울특별시 강남구 영동대로,11,680,105,722000,응용 소프트웨어 개발 및 공급업,158,61512780,3,2
주식회사 디지피,전라남도 영광군 영광읍 그린테크로,46,870,250,722000,응용 소프트웨어 개발 및 공급업,57,17184020,1,2
펜타시큐리티(주),서울특별시 영등포구 여의공원로,11,560,110,722000,응용 소프트웨어 개발 및 공급업,243,92205740,5,8
(주)메가투스,서울특별시 구로구 디지털로33길,11,530,102,722000,응용 소프트웨어 개발 및 공급업,50,21593300,0,0
(주)경일메디칼,경기도 성남시 분당구 대왕판교로,41,135,109,722000,응용 소프트웨어 개발 및 공급업,9,3833240,0,1
유진의료정보시스템(주),서울특별시 도봉구 도봉로,11,320,107,722000,응용 소프트웨어 개발 및 공급업,5,1757220,0,0
주식회사 휴머스원,서울특별시 강남구 선릉로,11,680,101,722000,응용 소프트웨어 개발 및 공급업,3,1115720,0,1
양재미디어(주),서울특별시 영등포구 당산로41길,11,560,114,722000,응용 소프트웨어 개발 및 공급업,30,9571720,2,1
한국신문협회,서울특별시 중구 세종대로,11,140,103,722000,응용 소프트웨어 개발 및 공급업,14,5571640,0,1
(주)키삭,서울특별시 금천구 가산디지털1로,11,545,101,721000,컴퓨터 시스템 통합 자문 및 구축 서비스업,17,7360720,0,0
메타넷디지털 주식회사,서울특별시 종로구 종로33길,11,110,160,722000,응용 소프트웨어 개발 및 공급업,384,149322940,4,15
(주)엔젤넷,경기도 고양시 덕양구 해포길,41,281,130,722000,응용 소프트웨어 개발 및 공급업,36,12805960,0,1
(주)아이비케이시스템,서울특별시 중구 퇴계로,11,140,125,722000,응용 소프트웨어 개발 및 공급업,660,318159420,2,1
(주)신한디에스,서울특별시 중구 남대문로10길,11,140,107,722000,응용 소프트웨어 개발 및 공급업,1108,528431540,8,8
남성기업주식회사,서울특별시 구로구 디지털로33길,11,530,102,721000,컴퓨터 시스템 통합 자문 및 구축 서비스업,6,2455800,0,0
마크프로(주),서울특별시 중구 청계천로,11,140,102,729000,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,67,23692240,1,4
아시아나IDT(주),서울특별시 종로구 우정국로,11,110,127,721000,컴퓨터 시스템 통합 자문 및 구축 서비스업,438,202586860,4,1
재단법인 한국데이터산업진흥원,서울특별시 중구 세종대로9길,11,140,166,724000,데이터베이스 및 온라인 정보 제공업,99,38196300,2,9
한국공정경쟁연합회,서울특별시 영등포구 은행로,11,560,110,722000,응용 소프트웨어 개발 및 공급업,11,3878240,0,1
지멘스인더스트리소프트웨어(주),서울특별시 강남구 언주로30길,11,680,118,722000,응용 소프트웨어 개발 및 공급업,295,155632420,4,4
웨더뉴스(주),서울특별시 마포구 상암산로,11,440,127,724000,데이터베이스 및 온라인 정보 제공업,19,7329600,0,0
주식회사 유비케어,서울특별시 영등포구 여의대로,11,560,110,722000,응용 소프트웨어 개발 및 공급업,281,109995400,3,4
씨제이올리브네트웍스(주),서울특별시 용산구 한강대로,11,170,107,722000,응용 소프트웨어 개발 및 공급업,1463,716426420,14,16
한국엠에스씨소프트웨어(주),경기도 성남시 수정구 청계산로,41,131,112,722000,응용 소프트웨어 개발 및 공급업,51,26374920,0,3
디지틀조선일보(주),서울특별시 중구 세종대로21길,11,140,103,724000,데이터베이스 및 온라인 정보 제공업,133,50895720,2,2
(주)신세계아이앤씨,서울특별시 강남구 테헤란로,11,680,101,722000,응용 소프트웨어 개발 및 공급업,1359,659929560,3,19
(주) 청구정보통신,서울특별시 구로구 디지털로26길,11,530,102,722000,응용 소프트웨어 개발 및 공급업,22,5835240,1,2
주식회사 케이아이씨컨설팅,서울특별시 금천구 벚꽃로36길,11,545,101,722000,응용 소프트웨어 개발 및 공급업,18,6957840,0,0
한국금융공학컨설팅(주),서울특별시 구로구 디지털로,11,530,102,722000,응용 소프트웨어 개발 및 공급업,36,14145100,0,0
(주)프라이전트,대전광역시 유성구 대학로,30,200,111,722000,응용 소프트웨어 개발 및 공급업,10,3617720,0,0
잡코리아유한책임회사,서울특별시 서초구 서초대로,11,650,108,724000,데이터베이스 및 온라인 정보 제공업,456,210668920,16,6
언어과학(주),경기도 안양시 동안구 흥안대로427번길,41,173,102,722000,응용 소프트웨어 개발 및 공급업,42,14101720,0,0
(주)에어코드,경기도 과천시 과천대로7길,41,290,103,722000,응용 소프트웨어 개발 및 공급업,56,25411280,3,0
한국여신전문금융업협회(사),서울특별시 중구 다동길,11,140,102,723000,자료 처리업,89,45860100,0,1
켐아이넷(주),서울특별시 양천구 목동중앙로,11,470,102,722000,응용 소프트웨어 개발 및 공급업,23,7309280,3,1
(주)빌리언이십일,경기도 군포시 고산로,41,410,102,722000,응용 소프트웨어 개발 및 공급업,14,3566560,0,1
한국오피스컴퓨터(주),서울특별시 구로구 디지털로,11,530,102,722000,응용 소프트웨어 개발 및 공급업,264,58511500,7,6
이디앤씨(주),서울특별시 영등포구 선유로,11,560,127,722000,응용 소프트웨어 개발 및 공급업,28,13044360,2,3
(주)넷사랑컴퓨터,서울특별시 광진구 광나루로56길,11,215,103,722000,응용 소프트웨어 개발 및 공급업,12,5201700,0,0
케이아이티밸리(주),서울특별시 금천구 디지털로9길,11,545,101,722000,응용 소프트웨어 개발 및 공급업,79,28199740,1,3
주식회사 히어솔루션즈코리아,서울특별시 종로구 새문안로,11,110,120,722000,응용 소프트웨어 개발 및 공급업,44,21654100,0,0
주식회사 티사이언티픽,서울특별시 동작구 여의대방로62길,11,590,108,724000,데이터베이스 및 온라인 정보 제공업,241,76703180,9,5
매직스(주),서울특별시 강남구 남부순환로370길,11,680,118,722000,응용 소프트웨어 개발 및 공급업,10,3957880,0,0
(주)엣데이터,서울특별시 성동구 성수일로8길,11,200,115,722000,응용 소프트웨어 개발 및 공급업,25,10087340,0,0
(주)MDS테크,경기도 성남시 분당구 대왕판교로644번길,41,135,109,722000,응용 소프트웨어 개발 및 공급업,138,55904820,1,1
이스턴테크놀러지(주),서울특별시 강남구 봉은사로,11,680,108,722000,응용 소프트웨어 개발 및 공급업,9,2572260,0,0
주식회사 메디콕스,서울특별시 강남구 도산대로,11,680,104,721000,컴퓨터 시스템 통합 자문 및 구축 서비스업,30,11644320,0,2
노아에이티에스(주),서울특별시 종로구 청계천로,11,110,123,722000,응용 소프트웨어 개발 및 공급업,148,61983300,4,0
(주)프리즘엠아이텍,서울특별시 영등포구 63로,11,560,110,724000,데이터베이스 및 온라인 정보 제공업,3,568160,0,0
지오소프트(주),경기도 성남시 수정구 창업로,41,131,115,722000,응용 소프트웨어 개발 및 공급업,26,9499880,5,1
케이웨더주식회사,서울특별시 구로구 디지털로26길,11,530,102,722000,응용 소프트웨어 개발 및 공급업,62,19552380,2,2
(주)한국공간정보통신,서울특별시 관악구 관악로,11,620,102,722000,응용 소프트웨어 개발 및 공급업,7,2524680,1,0
(주)소만사,경기도 성남시 수정구 금토로,41,131,116,722000,응용 소프트웨어 개발 및 공급업,373,136222720,9,4
케이아이티(주),서울특별시 송파구 중대로23길,11,710,107,722000,응용 소프트웨어 개발 및 공급업,15,5612960,0,0
(주)와치텍,서울특별시 영등포구 국제금융로8길,11,560,110,722000,응용 소프트웨어 개발 및 공급업,136,47849880,10,0
주식회사 카이네스,서울특별시 금천구 디지털로9길,11,545,101,722000,응용 소프트웨어 개발 및 공급업,5,1563740,0,0
(주)디지털태인,서울특별시 마포구 큰우물로,11,440,104,722000,응용 소프트웨어 개발 및 공급업,11,4728840,0,0
에스앤소프트(주),서울특별시 금천구 가산디지털1로,11,545,101,722000,응용 소프트웨어 개발 및 공급업,8,2683200,1,0
에스넷시스템(주),서울특별시 강남구 선릉로,11,680,105,721000,컴퓨터 시스템 통합 자문 및 구축 서비스업,513,193915920,9,6
더블유에이테크놀러지(주),서울특별시 서초구 사임당로1길,11,650,108,722000,응용 소프트웨어 개발 및 공급업,34,17228280,0,0
넷츠(주),서울특별시 강남구 논현로36길,11,680,118,722000,응용 소프트웨어 개발 및 공급업,146,57742820,0,1
에이스텔주식회사,서울특별시 금천구 가산디지털1로,11,545,101,721000,컴퓨터 시스템 통합 자문 및 구축 서비스업,9,3893220,0,0
모닝정보(주),서울특별시 강남구 밤고개로1길,11,680,115,722000,응용 소프트웨어 개발 및 공급업,5,1617740,0,0
주식회사 곰앤컴퍼니,서울특별시 송파구 문정로4길,11,710,108,722000,응용 소프트웨어 개발 및 공급업,28,10816040,1,0
주식회사 솔리데오,서울특별시 영등포구 국제금융로,11,560,110,722000,응용 소프트웨어 개발 및 공급업,271,91861720,4,3
에이치앤티주식회사,서울특별시 성동구 성수이로18길,11,200,115,722000,응용 소프트웨어 개발 및 공급업,13,2709780,0,0
(주)고려데이타시스템,서울특별시 영등포구 국회대로28길,11,560,113,722000,응용 소프트웨어 개발 및 공급업,3,505700,0,0
(주)두산 디지털이노베이션BU,서울특별시 중구 장충단로,11,140,148,722000,응용 소프트웨어 개발 및 공급업,379,200769340,1,1
(주)마크애니,서울특별시 중구 퇴계로,11,140,147,722000,응용 소프트웨어 개발 및 공급업,209,83059420,4,2
지에스엠솔루션(주),경기도 포천시 신북면 중앙로405번길,41,650,340,729000,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,9,1346020,0,0
백상정보통신(주),서울특별시 강남구 논현로28길,11,680,118,722000,응용 소프트웨어 개발 및 공급업,11,3999940,0,0
(주)케이지이니시스,서울특별시 중구 통일로,11,140,168,729000,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,214,70249660,3,3
(주)블루버드,서울특별시 강남구 일원로,11,680,114,722000,응용 소프트웨어 개발 및 공급업,217,87965380,2,2
한텍 주식회사,경기도 수원시 영통구 신원로,41,117,102,722000,응용 소프트웨어 개발 및 공급업,24,7422660,7,1
한빛소프트(주),서울특별시 금천구 가산디지털1로,11,545,101,722000,응용 소프트웨어 개발 및 공급업,103,37195220,0,2
(주)씨엘에이에스,서울특별시 노원구 석계로,11,350,102,729000,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,10,1817800,0,0
주식회사스펙트라,서울특별시 서초구 반포대로27길,11,650,108,722000,응용 소프트웨어 개발 및 공급업,97,42292160,1,0
(주)싸이웍스,서울특별시 서초구 바우뫼로37길,11,650,102,722000,응용 소프트웨어 개발 및 공급업,60,17007920,0,1
엘앤에스정보기술(주),서울특별시 강남구 강남대로112길,11,680,108,722000,응용 소프트웨어 개발 및 공급업,22,7540100,0,0
에이블컴(주),서울특별시 구로구 디지털로,11,530,102,722000,응용 소프트웨어 개발 및 공급업,29,11579400,0,0
어니컴주식회사,서울특별시 용산구 두텁바위로,11,170,104,722000,응용 소프트웨어 개발 및 공급업,383,105383860,17,14
토파스여행정보주식회사,서울특별시 중구 소공로,11,140,111,724000,데이터베이스 및 온라인 정보 제공업,66,33333400,0,0
(주)한컴위드,경기도 성남시 분당구 대왕판교로644번길,41,135,109,722000,응용 소프트웨어 개발 및 공급업,55,22676620,2,1
(주)온더아이티,경기도 성남시 분당구 판교로,41,135,109,722000,응용 소프트웨어 개발 및 공급업,27,10147560,0,0
세리정보기술(주),서울특별시 영등포구 영신로,11,560,109,722000,응용 소프트웨어 개발 및 공급업,147,50678660,1,0
엔파인(주),경기도 성남시 분당구 판교역로,41,135,109,722000,응용 소프트웨어 개발 및 공급업,43,13725960,0,0
새롬씨앤씨(주),서울특별시 구로구 디지털로34길,11,530,102,722000,응용 소프트웨어 개발 및 공급업,40,12012780,2,0
제론소프트(주),경기도 성남시 분당구 성남대로171번길,41,135,111,722000,응용 소프트웨어 개발 및 공급업,5,2112200,0,0
솔루션앤서비스(주),서울특별시 중구 서소문로,11,140,168,722000,응용 소프트웨어 개발 및 공급업,6,2987360,0,0
사이버메드(주),대전광역시 유성구 유성대로1205번길,30,200,134,722000,응용 소프트웨어 개발 및 공급업,49,15851920,3,4
(주)알티캐스트,서울특별시 강남구 테헤란로7길,11,680,101,722000,응용 소프트웨어 개발 및 공급업,74,18425900,4,5
(주)스트라투스테크놀로지스코리아,경기도 성남시 분당구 분당내곡로,41,135,110,721000,컴퓨터 시스템 통합 자문 및 구축 서비스업,3,1665900,0,0
인터컴정보통신(주),서울특별시 종로구 동숭길,11,110,168,729000,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,3,622520,0,0
토피아정보기술(주),경기도 과천시 과천대로7길,41,290,103,722000,응용 소프트웨어 개발 및 공급업,6,1575700,0,0
한국신용카드결제(주),서울특별시 구로구 디지털로26길,11,530,102,722000,응용 소프트웨어 개발 및 공급업,61,25625220,1,0
주식회사 씨제이에스,서울특별시 용산구 이촌로,11,170,128,722000,응용 소프트웨어 개발 및 공급업,22,6349860,0,0
(주)케이씨에이,서울특별시 서초구 동작대로,11,650,101,729000,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,226,69138120,8,1
주식회사 레브웨어,서울특별시 구로구 디지털로33길,11,530,102,722000,응용 소프트웨어 개발 및 공급업,8,2829120,0,2
국민캡(주),서울특별시 송파구 백제고분로40길,11,710,105,724000,데이터베이스 및 온라인 정보 제공업,8,1618160,0,0
컴젠(주),서울특별시 중구 서소문로,11,140,166,722000,응용 소프트웨어 개발 및 공급업,8,2348700,0,0
주식회사 센드페이,서울특별시 강남구 선릉로111길,11,680,108,729000,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,6,2370380,0,0
넥솔시스템(주),서울특별시 금천구 가산디지털2로,11,545,101,722000,응용 소프트웨어 개발 및 공급업,6,1501180,0,0
카페24 주식회사,서울특별시 동작구 보라매로5길,11,590,109,724000,데이터베이스 및 온라인 정보 제공업,994,432912420,6,11
오토마트(주),서울특별시 금천구 가산디지털1로,11,545,101,729000,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,14,4060700,0,0
주식회사에즈넷,서울특별시 성동구 아차산로7나길,11,200,115,722000,응용 소프트웨어 개발 및 공급업,6,2154320,0,1
시큐인포(주),경기도 과천시 과천대로7나길,41,290,103,722000,응용 소프트웨어 개발 및 공급업,35,11364120,0,1
(주)웹티즌,서울특별시 강남구 테헤란로,11,680,101,724000,데이터베이스 및 온라인 정보 제공업,5,694140,0,0
에이디소프트(주),서울특별시 금천구 범안로,11,545,101,722000,응용 소프트웨어 개발 및 공급업,3,1282120,0,0
레피니티브코리아 주식회사,서울특별시 종로구 새문안로,11,110,120,724000,데이터베이스 및 온라인 정보 제공업,20,10459940,1,0
(주)판도라티비,경기도 성남시 분당구 대왕판교로644번길,41,135,109,722000,응용 소프트웨어 개발 및 공급업,26,9169320,1,2
(주)컴테크컨설팅,서울특별시 강북구 한천로140길,11,305,103,724000,데이터베이스 및 온라인 정보 제공업,3,1069000,0,0
버라이존코리아(주),서울특별시 강남구 테헤란로,11,680,101,724000,데이터베이스 및 온라인 정보 제공업,8,3548060,0,0
(주) 쓰리탑,서울특별시 성동구 뚝섬로1길,11,200,114,722000,응용 소프트웨어 개발 및 공급업,96,39007960,0,1
애드팍테크놀러지(주),서울특별시 강남구 논현로,11,680,101,722000,응용 소프트웨어 개발 및 공급업,11,5156520,0,0
팍스넷(주),서울특별시 강남구 테헤란로,11,680,105,724000,데이터베이스 및 온라인 정보 제공업,16,5330820,0,0
부동산일일사(주),서울특별시 서초구 효령로,11,650,108,724000,데이터베이스 및 온라인 정보 제공업,0,0,0,1
(주)대교씨엔에스,서울특별시 관악구 보라매로3길,11,620,101,722000,응용 소프트웨어 개발 및 공급업,144,53602540,2,5
네오머니(주),경기도 구리시 갈매순환로166번길,41,310,101,722000,응용 소프트웨어 개발 및 공급업,11,3981040,1,0
(주)유웨이,경기도 성남시 수정구 금토로80번길,41,131,116,722000,응용 소프트웨어 개발 및 공급업,19,5435120,1,1
유한책임회사 이앤컴퍼니,서울특별시 종로구 비봉길,11,110,182,724000,데이터베이스 및 온라인 정보 제공업,4,841220,0,0
(주)넥스트솔루션,서울특별시 구로구 디지털로34길,11,530,102,722000,응용 소프트웨어 개발 및 공급업,9,2357900,0,0
(주)동진제어기술,서울특별시 영등포구 선유로13길,11,560,124,722000,응용 소프트웨어 개발 및 공급업,16,6418940,1,0
주식회사마크로밀엠브레인,서울특별시 서초구 명달로,11,650,101,722000,응용 소프트웨어 개발 및 공급업,255,91046620,5,4
(주)액토즈소프트,서울특별시 중구 서애로,11,140,139,722000,응용 소프트웨어 개발 및 공급업,162,67220680,1,1
넥스젠어쏘시에이트(주),서울특별시 송파구 법원로,11,710,108,722000,응용 소프트웨어 개발 및 공급업,30,7004820,0,0
한국가상현실(주),서울특별시 송파구 송파대로43길,11,710,105,722000,응용 소프트웨어 개발 및 공급업,25,7744900,0,1
가인정보처리(주),서울특별시 종로구 삼일대로,11,110,134,722000,응용 소프트웨어 개발 및 공급업,6,2394620,0,0
한국토코넷(주),서울특별시 중구 동호로18길,11,140,162,722000,응용 소프트웨어 개발 및 공급업,36,11441840,0,0
드림소프트웨어 주식회사,서울특별시 서초구 반포대로,11,650,108,722000,응용 소프트웨어 개발 및 공급업,45,15639420,0,0
(주)마르시스,서울특별시 강남구 언주로85길,11,680,101,722000,응용 소프트웨어 개발 및 공급업,78,35047880,1,1
네이버 주식회사,경기도 성남시 분당구 정자일로,41,135,103,724000,데이터베이스 및 온라인 정보 제공업,4664,2478516540,78,48
한국정보인증(주),경기도 성남시 수정구 금토로,41,131,116,729000,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,162,60583080,0,1
씨알에스코리아(주),서울특별시 종로구 종로5길,11,110,122,729000,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,55,24974800,0,1
(주)블룸테크놀로지,경기도 성남시 분당구 판교로228번길,41,135,109,722000,응용 소프트웨어 개발 및 공급업,18,8968920,0,0
(주)코이스,서울특별시 강서구 마곡중앙14로,11,500,105,724000,데이터베이스 및 온라인 정보 제공업,58,16449940,1,0
(주)대한약사통신,서울특별시 서초구 언남길,11,650,102,724000,데이터베이스 및 온라인 정보 제공업,5,1530600,0,0
주식회사 메타엠,서울특별시 강남구 언주로,11,680,108,724000,데이터베이스 및 온라인 정보 제공업,8282,1682757740,576,693
주식회사포씨소프트,경기도 과천시 뒷골1로,41,290,105,722000,응용 소프트웨어 개발 및 공급업,19,6248280,0,1
스튜디오에스 주식회사,서울특별시 마포구 상암산로,11,440,127,724000,데이터베이스 및 온라인 정보 제공업,123,60549880,0,0
한국소프트웨어저작권협회(사),서울특별시 강남구 선릉로105길,11,680,101,722000,응용 소프트웨어 개발 및 공급업,15,4671140,0,0
에스엘엘중앙 주식회사,서울특별시 마포구 상암산로,11,440,127,724000,데이터베이스 및 온라인 정보 제공업,164,74570620,1,0
(주)페이게이트,서울특별시 송파구 석촌호수로,11,710,104,722000,응용 소프트웨어 개발 및 공급업,35,13330440,2,0
(주)한경닷컴,서울특별시 중구 청파로,11,140,171,724000,데이터베이스 및 온라인 정보 제공업,95,40548020,2,2
(주)케이디티,강원특별자치도 춘천시 남산면 해오름길,51,110,400,722000,응용 소프트웨어 개발 및 공급업,19,6323820,0,0
가비아(주),경기도 과천시 과천대로7나길,41,290,103,722000,응용 소프트웨어 개발 및 공급업,380,147857000,2,12
(주)네오프레임,서울특별시 영등포구 여의대방로65길,11,560,110,721000,컴퓨터 시스템 통합 자문 및 구축 서비스업,27,10116240,1,0
(주)우리엔아이에스,서울특별시 송파구 법원로11길,11,710,108,722000,응용 소프트웨어 개발 및 공급업,50,15482880,0,0
(주)유클릭,경기도 과천시 과천대로7길,41,290,103,722000,응용 소프트웨어 개발 및 공급업,171,66353620,7,5
(주)베스트시스템,서울특별시 도봉구 도봉로,11,320,108,722000,응용 소프트웨어 개발 및 공급업,3,902960,0,0
메아리정보기술(주),서울특별시 중구 충무로,11,140,158,722000,응용 소프트웨어 개발 및 공급업,6,1739500,0,0
(주)비아이씨엔에스,경기도 성남시 분당구 판교로,41,135,109,722000,응용 소프트웨어 개발 및 공급업,41,12648280,1,4
주식회사 아이톡시,서울특별시 강남구 도산대로,11,680,104,722000,응용 소프트웨어 개발 및 공급업,29,11289700,2,1
신텍정보시스템(주),서울특별시 구로구 디지털로30길,11,530,102,722000,응용 소프트웨어 개발 및 공급업,47,15185780,4,2
한양정보통신(주),서울특별시 서초구 서초대로,11,650,101,722000,응용 소프트웨어 개발 및 공급업,11,4504540,0,0
(주)에이포넷,서울특별시 강남구 봉은사로55길,11,680,105,722000,응용 소프트웨어 개발 및 공급업,3,886500,0,0
(주)블루포트,서울특별시 강남구 테헤란로8길,11,680,101,722000,응용 소프트웨어 개발 및 공급업,30,11189040,0,0
아이온커뮤니케이션즈(주),서울특별시 강남구 테헤란로10길,11,680,101,722000,응용 소프트웨어 개발 및 공급업,63,25273260,1,4
(주)엔코아,서울특별시 마포구 마포대로,11,440,102,722000,응용 소프트웨어 개발 및 공급업,169,72510840,2,4
이리오넷(주),서울특별시 중랑구 신내역로,11,260,106,722000,응용 소프트웨어 개발 및 공급업,4,1379700,0,3
(주)나우티앤에스,서울특별시 구로구 디지털로,11,530,102,721000,컴퓨터 시스템 통합 자문 및 구축 서비스업,34,11906960,0,0
킹스정보통신(주),경기도 하남시 조정대로,41,450,108,722000,응용 소프트웨어 개발 및 공급업,35,11030180,2,1
주식회사 렉스팜,서울특별시 서초구 고무래로10길,11,650,107,724000,데이터베이스 및 온라인 정보 제공업,12,5170560,0,0
미디어웹(주),서울특별시 금천구 가산디지털1로,11,545,101,724000,데이터베이스 및 온라인 정보 제공업,59,22015220,1,1
웹케시(주),서울특별시 영등포구 영신로,11,560,109,722000,응용 소프트웨어 개발 및 공급업,258,95375820,1,4
(주)이글루코퍼레이션,서울특별시 송파구 정의로8길,11,710,108,722000,응용 소프트웨어 개발 및 공급업,1104,344050900,15,22
한국전자인증(주),서울특별시 서초구 서초대로62길,11,650,108,729000,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,75,27655520,1,1
블루칩씨앤에스주식회사,서울특별시 용산구 한강대로,11,170,104,722000,응용 소프트웨어 개발 및 공급업,20,7010700,0,1
(주)스마트메이트,경기도 성남시 분당구 황새울로,41,135,102,722000,응용 소프트웨어 개발 및 공급업,3,224880,0,0
메타빌드(주),서울특별시 서초구 서초중앙로,11,650,108,722000,응용 소프트웨어 개발 및 공급업,325,117354940,3,10
(주)아톤,서울특별시 영등포구 여의대로,11,560,110,722000,응용 소프트웨어 개발 및 공급업,112,46926540,0,2
(주)메디컬익스프레스,서울특별시 강서구 등촌로51길,11,500,102,722000,응용 소프트웨어 개발 및 공급업,4,869040,0,0
(주)짚코드,서울특별시 관악구 남부순환로,11,620,101,724000,데이터베이스 및 온라인 정보 제공업,6,2261220,0,0
(주)티에스아이티,서울특별시 영등포구 당산로,11,560,114,722000,응용 소프트웨어 개발 및 공급업,11,3545320,0,1
(주)파노텍,부산광역시 사상구 모라로,26,530,102,722000,응용 소프트웨어 개발 및 공급업,13,3904580,0,0
(주)초록마을,서울특별시 강남구 언주로,11,680,108,729000,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,376,99045860,14,12
한국아이티진흥(주),서울특별시 영등포구 양평로21가길,11,560,129,722000,응용 소프트웨어 개발 및 공급업,131,50459840,11,4
(주)알티베이스,서울특별시 구로구 디지털로,11,530,102,722000,응용 소프트웨어 개발 및 공급업,63,32147100,0,0
도원닷컴(주),서울특별시 강남구 강남대로84길,11,680,101,729000,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,6,1330800,0,0
피엠에스코리아(주),경기도 고양시 덕양구 청초로,41,281,131,722000,응용 소프트웨어 개발 및 공급업,16,3252420,0,1
(주)테크코리아,서울특별시 금천구 디지털로,11,545,101,722000,응용 소프트웨어 개발 및 공급업,4,1137240,0,0
(주)윕스,서울특별시 마포구 성암로,11,440,127,724000,데이터베이스 및 온라인 정보 제공업,330,112548120,3,4
(주)소프트그램,서울특별시 영등포구 선유로13길,11,560,124,722000,응용 소프트웨어 개발 및 공급업,13,5697920,0,0
