사업장명,사업장도로명상세주소,법정동주소광역시도코드,법정동주소광역시시군구코드,법정동주소광역시시군구읍면동코드,사업장업종코드,사업장업종코드명,가입자수,당월고지금액,신규취득자수,상실가입자수
(주)세인인포테크,서울특별시 강남구 테헤란로,11,680,105,722000,응용 소프트웨어 개발 및 공급업,41,14798900,0,1
주식회사 위메이드맥스,경기도 성남시 분당구 대왕판교로644번길,41,135,109,722000,응용 소프트웨어 개발 및 공급업,21,9205760,1,0
(주)한국심트라,서울특별시 금천구 가산디지털1로,11,545,101,722000,응용 소프트웨어 개발 및 공급업,13,4279240,0,3
(주)부뜰정보시스템,서울특별시 영등포구 영등포로,11,560,111,721000,컴퓨터 시스템 통합 자문 및 구축 서비스업,155,63645440,2,4
(주)유니마이크로테크놀러지,서울특별시 강남구 테헤란로14길,11,680,101,722000,응용 소프트웨어 개발 및 공급업,3,641600,0,0
(주)다하미커뮤니케이션즈,서울특별시 중구 마른내로,11,140,147,722000,응용 소프트웨어 개발 및 공급업,54,16376500,0,2
(주)산하정보기술,서울특별시 금천구 디지털로9길,11,545,101,722000,응용 소프트웨어 개발 및 공급업,127,43970200,2,1
(주)프로웨어,서울특별시 강남구 밤고개로1길,11,680,115,722000,응용 소프트웨어 개발 및 공급업,3,898640,0,0
(주)위사,서울특별시 영등포구 영등포로13길,11,560,125,722000,응용 소프트웨어 개발 및 공급업,28,10675840,0,3
(주)제이텍솔루션,서울특별시 금천구 가산디지털2로,11,545,101,721000,컴퓨터 시스템 통합 자문 및 구축 서비스업,21,6409280,0,1
티쓰리큐주식회사,서울특별시 구로구 디지털로30길,11,530,102,722000,응용 소프트웨어 개발 및 공급업,69,23174360,0,3
지엔소프트（주）,대전광역시 유성구 문지로,30,200,140,722000,응용 소프트웨어 개발 및 공급업,109,31213360,0,1
주식회사컴퓨터메이트,대구광역시 수성구 알파시티1로35길,27,260,127,722000,응용 소프트웨어 개발 및 공급업,82,27449640,0,0
주식회사아이티앤,전라남도 나주시 교육길,46,170,134,722000,응용 소프트웨어 개발 및 공급업,32,7410960,0,0
(주)웹젠온네트,경기도 성남시 분당구 판교로,41,135,109,722000,응용 소프트웨어 개발 및 공급업,23,10120380,0,0
티엔씨파트너(주),서울특별시 구로구 디지털로33길,11,530,102,722000,응용 소프트웨어 개발 및 공급업,20,7925860,0,0
에이알엠코리아(주),경기도 성남시 분당구 수내로46번길,41,135,102,722000,응용 소프트웨어 개발 및 공급업,18,9995400,0,0
팅크웨어(주),경기도 성남시 분당구 판교역로,41,135,109,722000,응용 소프트웨어 개발 및 공급업,252,84373500,3,2
(주)심테크시스템,서울특별시 성동구 성수이로7길,11,200,115,722000,응용 소프트웨어 개발 및 공급업,9,3485380,0,0
(주)아이엑스비,경기도 안양시 동안구 벌말로,41,173,102,722000,응용 소프트웨어 개발 및 공급업,10,3271100,0,0
주식회사 지피티더블유인스티튜트,서울특별시 영등포구 국회대로70길,11,560,110,722000,응용 소프트웨어 개발 및 공급업,4,1256120,0,1
(주)마이크로디스플레이,서울특별시 서초구 바우뫼로7길,11,650,103,722000,응용 소프트웨어 개발 및 공급업,5,1721680,0,0
